AÑ;PERIODO;FECHA DE EMISION;FECHA DE VENCIMIENTO;CODIGO DE CLIENTE;CLIENTE;Indicador;DE_TIPO_DOCU;N° DOCUMENT;MONEDA;TIPO DE  CAMBIO;BASE IMPONIBLE;IGV;TOTAL;BASE IMPONIBLE SOLES;IGV SOLES;TOTAL SOLES;TIPO DE PAGO;CONDICION DE PAGO;DE_TIPO_DOCU;N° DOCUMENT;MONEDA;TIPO DE CAMBIO;BASE IMPONIBLE;IGV;TOTAL;BASE IMPONIBLE SOLES;IGV SOLES;TOTAL SOLES;VENDEDORES
2023;2023-08;28/08/2023;28/08/2023;20408124400;CORPORACION MAZA SANDOVAL S.A.C.;1;FACTURA;F001-00037565;USD;3.7;769.86;138.57;908.43;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JACKELINE PANDO
2023;2023-08;29/08/2023;29/08/2023;20537967707;HJE MOTOR SERVIS S.A.C;1;FACTURA;F001-00037574;USD;3.7;31.2;5.62;36.82;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JACKELINE PANDO
2025;2025-01;30/01/2025;1/03/2025;20479411990;COMERCIAL ZEGARRA E.I.R.L.;1;FACTURA;F001-00042336;USD;3.73;673.36;121.2;794.56;0;0;0;CREDITO;Factura a 30 día;OTROS;;;0;0;0;0;0;0;0;HUGO TRIGOSO
2024;2024-03;26/03/2024;25/05/2024;42894163;DOMINGUEZ DE LA CRUZ ROMEL TEODORO;3;BOLETA;B001-00004052;USD;3.71;1,160.00;208.8;1,368.80;0;0;0;CREDITO;Factura a 60 día;OTROS;;;0;0;0;0;0;0;0;HILDER ALIAGA
2024;2024-05;23/05/2024;23/05/2024;25102;HUMBERTO SEGUNDO NOLORBE UPIACHIHUAY;3;BOLETA;B001-00004061;USD;3.74;1,078.00;194.04;1,272.04;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;AMADOR PEREZ
2024;2024-07;8/07/2024;8/07/2024;9786022;ADA MARILU GARCÍA CUARE;3;BOLETA;B001-00004068;USD;3.8;79;14.22;93.22;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;GUISEP VILLAJUAN
2024;2024-07;10/07/2024;10/07/2024;9786022;ADA MARILU GARCÍA CUARE;3;BOLETA;B001-00004070;USD;3.79;36.16;6.51;42.67;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;GUISEP VILLAJUAN
2024;2024-07;24/07/2024;24/07/2024;41040262;URIEL CALDERON FLORES;3;BOLETA;B001-00004071;USD;3.76;504.86;90.87;595.73;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;HILDER ALIAGA
2024;2024-08;20/08/2024;20/08/2024;72800063;VELIZ VELIZ KAREN SHEYLA;3;BOLETA;B001-00004075;USD;3.74;7.1;1.28;8.38;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;HILDER ALIAGA
2024;2024-08;23/08/2024;23/08/2024;72800063;VELIZ VELIZ KAREN SHEYLA;3;BOLETA;B001-00004076;USD;3.76;4.26;0.77;5.03;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;HILDER ALIAGA
2024;2024-08;26/08/2024;26/08/2024;45102606;GOLDSWORTHY JAMES MICHAEL;3;BOLETA;B001-00004077;USD;3.75;37.29;6.71;44;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;GUISEP VILLAJUAN
